id,<=3,Ejercicio,O1,O2,O3,O4,O5,Respuesta,W1,W2,W3,W4,Contenido,Molde,Or_Dificultad,Dificultad,Habilidad,aux_n1,aux_n2,aux_n3,aux_n4,aux_n5,aux_n6,aux_n7,aux_n8,aux_n9,aux_n10,aux_n11,aux_n12,aux_n13,aux_n14,aux_n15,aux_n16,aux_n17,aux_n18,aux_n19,aux_n20,aux_n21,aux_n22,aux_n23,aux_n24,aux_n25,aux_n26,aux_n27,aux_n28,aux_n29,aux_n30,aux_n31,aux_n32,aux_n33,aux_n34,aux_n35,aux_n36,aux_n37,aux_n38,aux_n39,aux_n40,aux_n41,aux_n42,3,4,5,6,7,8,9,10,excercise_id,
1,,"Exprese en lenguaje algebraico el doble de un número, disminuido en `16` unidades.",,,,,,`2x - 16`,`3x - 16`,`x - 16`,`2x + 16`,`2 - 16`,9,A,0.166666667,100,Identificar,el doble,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2,,"Exprese en lenguaje algebraico el doble de un número, disminuido en `50` unidades.",,,,,,`2x - 50`,`3x - 50`,`x - 50`,`2x + 50`,`2 - 50`,9,A,0.166666667,100,Identificar,el doble,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Identificar
3,,"Exprese en lenguaje algebraico el doble de un número, disminuido en `35` unidades.",,,,,,`2x - 35`,`3x - 35`,`x - 35`,`2x + 35`,`2 - 35`,9,A,0.166666667,100,Identificar,el doble,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Aplicar
4,,"Exprese en lenguaje algebraico el doble de un número, disminuido en `10` unidades.",,,,,,`2x - 10`,`3x - 10`,`x - 10`,`2x + 10`,`2 - 10`,9,A,0.166666667,100,Identificar,el doble,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Analizar
5,,"Exprese en lenguaje algebraico el doble de un número, disminuido en `1` unidades.",,,,,,`2x - 1`,`3x - 1`,`x - 1`,`2x + 1`,`2 - 1`,9,A,0.166666667,100,Identificar,el doble,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,
6,,"Exprese en lenguaje algebraico el doble de un número, disminuido en `24` unidades.",,,,,,`2x - 24`,`3x - 24`,`x - 24`,`2x + 24`,`2 - 24`,9,A,0.166666667,100,Identificar,el doble,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,
7,,"Exprese en lenguaje algebraico el doble de un número, disminuido en `22` unidades.",,,,,,`2x - 22`,`3x - 22`,`x - 22`,`2x + 22`,`2 - 22`,9,A,0.166666667,100,Identificar,el doble,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,
8,,"Exprese en lenguaje algebraico el doble de un número, disminuido en `30` unidades.",,,,,,`2x - 30`,`3x - 30`,`x - 30`,`2x + 30`,`2 - 30`,9,A,0.166666667,100,Identificar,el doble,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,
9,,"Exprese en lenguaje algebraico el doble de un número, disminuido en `37` unidades.",,,,,,`2x - 37`,`3x - 37`,`x - 37`,`2x + 37`,`2 - 37`,9,A,0.166666667,100,Identificar,el doble,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,
10,,"Exprese en lenguaje algebraico el doble de un número, disminuido en `26` unidades.",,,,,,`2x - 26`,`3x - 26`,`x - 26`,`2x + 26`,`2 - 26`,9,A,0.166666667,100,Identificar,el doble,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,
11,,"Exprese en lenguaje algebraico el triple de un número, disminuido en `43` unidades.",,,,,,`3x - 43`,`2x - 43`,`x - 43`,`3x + 43`,`3 - 43`,9,A,0.333333333,200,Identificar,el triple,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,
12,,"Exprese en lenguaje algebraico el triple de un número, disminuido en `7` unidades.",,,,,,`3x - 7`,`2x - 7`,`x - 7`,`3x + 7`,`3 - 7`,9,A,0.333333333,200,Identificar,el triple,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,
13,,"Exprese en lenguaje algebraico el triple de un número, disminuido en `18` unidades.",,,,,,`3x - 18`,`2x - 18`,`x - 18`,`3x + 18`,`3 - 18`,9,A,0.333333333,200,Identificar,el triple,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,
14,,"Exprese en lenguaje algebraico el triple de un número, disminuido en `23` unidades.",,,,,,`3x - 23`,`2x - 23`,`x - 23`,`3x + 23`,`3 - 23`,9,A,0.333333333,200,Identificar,el triple,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,
15,,"Exprese en lenguaje algebraico el triple de un número, disminuido en `33` unidades.",,,,,,`3x - 33`,`2x - 33`,`x - 33`,`3x + 33`,`3 - 33`,9,A,0.333333333,200,Identificar,el triple,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,
16,,"Exprese en lenguaje algebraico el triple de un número, disminuido en `7` unidades.",,,,,,`3x - 7`,`2x - 7`,`x - 7`,`3x + 7`,`3 - 7`,9,A,0.333333333,200,Identificar,el triple,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,
17,,"Exprese en lenguaje algebraico el triple de un número, disminuido en `12` unidades.",,,,,,`3x - 12`,`2x - 12`,`x - 12`,`3x + 12`,`3 - 12`,9,A,0.333333333,200,Identificar,el triple,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,
18,,"Exprese en lenguaje algebraico el triple de un número, disminuido en `10` unidades.",,,,,,`3x - 10`,`2x - 10`,`x - 10`,`3x + 10`,`3 - 10`,9,A,0.333333333,200,Identificar,el triple,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,
19,,"Exprese en lenguaje algebraico el triple de un número, disminuido en `49` unidades.",,,,,,`3x - 49`,`2x - 49`,`x - 49`,`3x + 49`,`3 - 49`,9,A,0.333333333,200,Identificar,el triple,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,
20,,"Exprese en lenguaje algebraico el triple de un número, disminuido en `41` unidades.",,,,,,`3x - 41`,`2x - 41`,`x - 41`,`3x + 41`,`3 - 41`,9,A,0.333333333,200,Identificar,el triple,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,
21,,"Exprese en lenguaje algebraico el quíntuple de un número, disminuido en `30` unidades.",,,,,,`5x - 30`,`2x - 30`,`x - 30`,`5x + 30`,`5 - 30`,9,A,0.5,300,Identificar,el quíntuple,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,
22,,"Exprese en lenguaje algebraico el quíntuple de un número, disminuido en `26` unidades.",,,,,,`5x - 26`,`2x - 26`,`x - 26`,`5x + 26`,`5 - 26`,9,A,0.5,300,Identificar,el quíntuple,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,
23,,"Exprese en lenguaje algebraico el quíntuple de un número, disminuido en `7` unidades.",,,,,,`5x - 7`,`2x - 7`,`x - 7`,`5x + 7`,`5 - 7`,9,A,0.5,300,Identificar,el quíntuple,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,
24,,"Exprese en lenguaje algebraico el quíntuple de un número, disminuido en `40` unidades.",,,,,,`5x - 40`,`2x - 40`,`x - 40`,`5x + 40`,`5 - 40`,9,A,0.5,300,Identificar,el quíntuple,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,
25,,"Exprese en lenguaje algebraico el quíntuple de un número, disminuido en `21` unidades.",,,,,,`5x - 21`,`2x - 21`,`x - 21`,`5x + 21`,`5 - 21`,9,A,0.5,300,Identificar,el quíntuple,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,
26,,"Exprese en lenguaje algebraico el quíntuple de un número, disminuido en `46` unidades.",,,,,,`5x - 46`,`2x - 46`,`x - 46`,`5x + 46`,`5 - 46`,9,A,0.5,300,Identificar,el quíntuple,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,
27,,"Exprese en lenguaje algebraico el quíntuple de un número, disminuido en `21` unidades.",,,,,,`5x - 21`,`2x - 21`,`x - 21`,`5x + 21`,`5 - 21`,9,A,0.5,300,Identificar,el quíntuple,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,
28,,"Exprese en lenguaje algebraico el quíntuple de un número, disminuido en `4` unidades.",,,,,,`5x - 4`,`2x - 4`,`x - 4`,`5x + 4`,`5 - 4`,9,A,0.5,300,Identificar,el quíntuple,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,
29,,"Exprese en lenguaje algebraico el quíntuple de un número, disminuido en `14` unidades.",,,,,,`5x - 14`,`2x - 14`,`x - 14`,`5x + 14`,`5 - 14`,9,A,0.5,300,Identificar,el quíntuple,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,
